,เบอร์,ผลรวม,เครือข่าย,โปร,ราคา,สถานะ,ผู้ขาย,,
1,096-141-4645,40,TRUE,เติมเงิน,"12,900",,,,
2,096-141-5145,36,TRUE,เติมเงิน,"12,900",,,,
3,095-141-5156,37,TRUE,เติมเงิน,"12,900",,,,
4,096-141-5424,36,TRUE,เติมเงิน,"14,900",,,,
5,096-141-5451,36,TRUE,เติมเงิน,"19,900",,,,
6,096-141-5541,36,TRUE,เติมเงิน,"9,900",,,,
7,096-141-5619,42,TRUE,เติมเงิน,"19,900",,,,
8,097-141-5989,53,TRUE,เติมเงิน,"14,900",,,,
9,096-141-6454,40,TRUE,เติมเงิน,"7,900",,,,
10,096-141-6465,42,TRUE,เติมเงิน,"12,900",,,,
11,096-141-6564,42,TRUE,เติมเงิน,"7,900",,,,
12,096-141-6591,42,TRUE,เติมเงิน,"8,900",,,,
13,096-141-6915,42,TRUE,เติมเงิน,"14,900",,,,
14,096-141-6945,45,TRUE,เติมเงิน,"14,900",,,,
15,096-141-6954,45,TRUE,เติมเงิน,"11,900",,,,
16,096-141-9156,42,TRUE,เติมเงิน,"14,900",,,,
17,096-141-9451,40,TRUE,เติมเงิน,"9,000",,,,
18,096-141-9541,40,TRUE,เติมเงิน,"12,900",,,,
19,096-141-9615,42,TRUE,เติมเงิน,"7,900",,,,
20,096-141-9915,45,TRUE,เติมเงิน,"7,900",,,,
21,096-142-2951,39,TRUE,เติมเงิน,"14,900",,,,
22,096-142-4145,36,TRUE,เติมเงิน,"22,900",,,,
23,096-142-4154,36,TRUE,เติมเงิน,"8,900",,,,
24,084-142-4191,34,TRUE,เติมเงิน,"5,900",,,,
25,096-142-4451,36,TRUE,เติมเงิน,"11,900",,,,
26,095-142-4465,40,TRUE,เติมเงิน,"22,900",,,,
27,096-142-4514,36,TRUE,เติมเงิน,"19,900",,,,
28,096-142-4541,36,TRUE,เติมเงิน,"14,900",,,,
29,096-142-6959,51,TRUE,เติมเงิน,"12,900",,,,
30,095-142-9245,41,TRUE,เติมเงิน,"14,900",,,,
31,096-142-9424,41,TRUE,เติมเงิน,"12,900",,,,
32,095-142-9491,44,TRUE,เติมเงิน,"6,900",,,,
33,096-142-9515,42,TRUE,เติมเงิน,"14,900",,,,
34,096-142-9564,46,TRUE,เติมเงิน,"14,900",,,,
35,095-142-9591,45,TRUE,เติมเงิน,"12,900",,,,
36,096-142-9915,46,TRUE,เติมเงิน,"22,900",,,,
37,096-145-1415,36,TRUE,เติมเงิน,"22,900",,,,
