เบอร์,ราคาเบอร์,แพ็กเกจ,เครือข่าย,สถานะ
0996416949,29500,-,ais,active
0986162935,39500,-,ais,active
0984942324,24500,-,ais,active
0996163595,29500,-,ais,active
0936198959,,-,ais,active
0941469429,14500,-,ais,active
0932394964,24500,-,ais,active
0933616165,29500,-,ais,active
0931536626,14500,-,ais,active
0936261949,24500,-,ais,active
0932414989,29500,-,ais,active
0624296264,23500,-,ais,active
0625354463,24500,-,ais,active
0622944919,27500,-,ais,active
0934646919,34500,-,ais,active
0932322949,14500,-,ais,active
0934942649,24500,-,ais,active
0864442245,39500,-,ais,active
0926235399,39500,-,ais,active
0923299146,27900,-,ais,active
0986163516,24500,-,ais,active
0625354515,39500,-,ais,active
0621461949,17500,-,ais,active
0621645539,16500,-,ais,active
0953966915,29500,-,ais,active
0631623565,19500,-,ais,active
0631629395,19500,-,ais,active
0632626959,39500,-,ais,active
0632414939,19500,-,ais,active
0973294929,29500,-,ais,active
0885665153,34900,-,ais,active
0973565496,24500,-,ais,active
0863636515,39500,-,ais,active
0863635354,24500,-,ais,active
0989239929,29500,-,ais,active
0615656491,27500,-,ais,active
0611646424,13500,-,ais,active
0611615326,13500,-,ais,active
0985322636,34500,-,ais,active
0611622236,13500,-,ais,active
0613519239,27500,-,ais,active
0615153961,33500,-,ais,active
0923294166,29500,-,ais,active
0923515161,29500,-,ais,active
0925329419,29500,-,ais,active
0923232615,29500,-,ais,active
0923516166,17900,-,ais,active
0923291916,27900,-,ais,active
0918969989,29500,-,ais,active
0923299426,24500,-,ais,active
0923298939,24500,-,ais,active
0902394963,24900,-,ais,active
0623292291,24500,-,ais,active
0981494294,14500,-,ais,active
0986394229,59500,-,ais,active
0989492959,,-,ais,active
0972353936,24500,-,ais,active
0885666419,35000,-,ais,active
0863636654,24500,-,ais,active
0882923235,29500,-,ais,active
0985149161,34500,-,ais,active
0986166539,29500,-,ais,active
0985639892,,-,ais,active
0625359323,29500,-,ais,active
0623291424,27500,-,ais,active
0622944939,29500,-,ais,active
0621416919,16500,-,ais,active
0982363539,24500,-,ais,active
0631632326,16500,-,ais,active
0989239199,19500,-,ais,active
0979296929,24500,-,ais,active
0631544592,,-,ais,active
0986616323,24500,-,ais,active
0885595563,34900,-,ais,active
0986614932,,-,ais,active
0934944229,14500,-,ais,active
0933562494,24500,-,ais,active
0613542326,23500,-,ais,active
0611691514,23500,-,ais,active
0613542295,27500,-,ais,active
0611622235,29500,-,ais,active
